Product,Keyword1,Keyword2,Keyword3,Keyword4,Keyword5,Keyword6
goal-save,Organized,Disciplined,Goal-Oriented,Strategic,Patient,Consistent
money-pot,Organized,Streamlined,Goal-Oriented,Transparent,Efficient,Strategic
overdraft,Caution,Strategic,Organized,Convenient,Timely,Strategic
installment-loan,Responsible,Self-reliant,Practical,Fast,Temporary,Flexible
visa-credit-card,Self-reliant,Convenient,Impulsive,Flexible,Responsive,Immediate
term-deposit,Risk-free,Disciplined,Stability,Reliable,Predictable,Secured
vinacapital-investments,Adventurous,Caution,Risk-taker,Opportunistic,Ambitious,Analytical
spending-prediction,Fun,Insightful,Challenging,Personal,Strategic,none
setting-budget,Disciplined,Controllable,Caution,Goal-Oriented,Timely,Strategic
category-report,Accurate,Insightful,Analytical,Organized,Strategic,Transparent
cashflow-overview,Accurate,Insightful,Analytical,Organized,Strategic,Transparent
asset-tracker,Accurate,Insightful,Analytical,Organized,Strategic,Transparent
split-bill,Convenient,Trustworthy,Transparent,Collaborative,Social,Reliable
schedule-payment,Caution,Strategic,Organized,Convenient,Timely,Flexibility
present,Generous,Optimistic,Thoughtful,Practical,Personal,Appreciative
liberty-travel-insurance,Secured,Stable,Reliable,Thoughtful ,Responsible,Protective
shared-pot,Collaborative,Committed,Engaged,Supportive,Transparent,Trustworthy
tags,Analytical,Caution,Organized,Disciplined,Accurate,Insightful
pfm,Disciplined,Controllable,Caution,Goal-Oriented,Insightful,Strategic
